Row ID;Transcript #;Keep;Eliminate;Kind;Status;Row Start Time;Row End Time;Transcript Token Index;Transcript Token;Reference Token Index;Reference Token;Alignment Type;Alignment Confidence;Timing Source;Source Start Time;Source End Time;Notes
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;1;mongolie;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:23:06;00:00:24:12;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;2;nicolas;0;nicolas;MATCH;1.00;groq_word;00:00:24:12;00:00:24:19;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;3;cage;1;cage;MATCH;1.00;groq_word;00:00:24:19;00:00:25:00;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;4;devra;2;devra;MATCH;1.00;groq_word;00:00:25:00;00:00:25:07;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;5;rendre;3;rendre;MATCH;1.00;groq_word;00:00:25:07;00:00:25:15;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;6;le;4;le;MATCH;1.00;groq_word;00:00:25:15;00:00:25:20;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;7;fossile;5;fossile;MATCH;1.00;groq_word;00:00:25:20;00:00:26:07;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;8;et;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:26:07;00:00:27:07;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;9;il;6;il;MATCH;1.00;groq_word;00:00:27:07;00:00:27:08;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;10;sera;7;sera;MATCH;1.00;groq_word;00:00:27:08;00:00:27:15;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;11;rembourse;8;rembourse;MATCH;1.00;groq_word;00:00:27:15;00:00:28:06;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;12;a;9;a;MATCH;1.00;groq_word;00:00:28:06;00:00:28:16;
11;11;x;;speech;TRANSPOSED_MATCH;00:00:23:01;00:00:29:14;13;0;10;0;MATCH;1.00;groq_word;00:00:28:16;00:00:29:14;
12;12;;x;silence;SILENCE;00:00:29:14;00:00:31:08;;;;;SILENCE;1.00;silence_row;00:00:29:14;00:00:31:08;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;0;tous;0;tous;MATCH;1.00;groq_word;00:00:31:08;00:00:31:12;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;1;les;1;les;MATCH;1.00;groq_word;00:00:31:12;00:00:31:19;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;2;journaux;2;journaux;MATCH;1.00;groq_word;00:00:31:19;00:00:32:03;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;3;en;3;en;MATCH;1.00;groq_word;00:00:32:03;00:00:32:08;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;;;4;parle;REF_ONLY;0.00;;;;
13;13;x;;speech;MATCH;00:00:31:08;00:00:32:19;4;parlent;;;TRANSCRIPT_ONLY;0.00;groq_word;00:00:32:08;00:00:32:19;
14;14;;x;silence;SILENCE;00:00:32:19;00:00:33:11;;;;;SILENCE;1.00;silence_row;00:00:32:19;00:00:33:11;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;0;il;;;ELIMINATED;0.00;groq_word;00:00:33:11;00:00:34:05;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;1;y;;;ELIMINATED;0.00;groq_word;00:00:34:05;00:00:34:06;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;2;a;;;ELIMINATED;0.00;groq_word;00:00:34:06;00:00:34:07;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;3;meme;;;ELIMINATED;0.00;groq_word;00:00:34:07;00:00:34:13;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;4;des;;;ELIMINATED;0.00;groq_word;00:00:34:13;00:00:34:21;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;5;photos;;;ELIMINATED;0.00;groq_word;00:00:34:21;00:00:35:04;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;6;qui;;;ELIMINATED;0.00;groq_word;00:00:35:04;00:00:35:08;
15;15;;x;speech;PRE_REPEAT_ELIMINATED;00:00:33:11;00:00:35:18;7;sortent;;;ELIMINATED;0.00;groq_word;00:00:35:08;00:00:35:18;
16;16;;x;silence;SILENCE;00:00:35:18;00:00:36:17;;;;;SILENCE;1.00;silence_row;00:00:35:18;00:00:36:17;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;0;il;0;il;MATCH;1.00;groq_word;00:00:36:17;00:00:36:21;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;1;y;1;y;MATCH;1.00;groq_word;00:00:36:21;00:00:37:00;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;2;a;2;a;MATCH;1.00;groq_word;00:00:37:00;00:00:37:02;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;3;meme;3;meme;MATCH;1.00;groq_word;00:00:37:02;00:00:37:06;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;4;des;4;des;MATCH;1.00;groq_word;00:00:37:06;00:00:37:10;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;5;photos;5;photos;MATCH;1.00;groq_word;00:00:37:10;00:00:37:16;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;6;qui;6;qui;MATCH;1.00;groq_word;00:00:37:16;00:00:37:21;
17;17;x;;speech;ANCHOR;00:00:36:17;00:00:38:16;7;sortent;7;sortent;MATCH;1.00;groq_word;00:00:37:21;00:00:38:16;
18;18;;x;silence;SILENCE;00:00:38:16;00:00:39:22;;;;;SILENCE;1.00;silence_row;00:00:38:16;00:00:39:22;
19;19;x;;speech;MATCH;00:00:39:22;00:00:41:14;0;et;0;et;MATCH;1.00;groq_word;00:00:39:22;00:00:40:01;
19;19;x;;speech;MATCH;00:00:39:22;00:00:41:14;1;meme;1;meme;MATCH;1.00;groq_word;00:00:40:01;00:00:40:07;
19;19;x;;speech;MATCH;00:00:39:22;00:00:41:14;2;des;2;des;MATCH;1.00;groq_word;00:00:40:07;00:00:40:12;
19;19;x;;speech;MATCH;00:00:39:22;00:00:41:14;3;videos;3;video;APPROX_MATCH;0.91;groq_word;00:00:40:12;00:00:40:18;
19;19;x;;speech;MATCH;00:00:39:22;00:00:41:14;4;qui;4;qui;MATCH;1.00;groq_word;00:00:40:18;00:00:40:23;
19;19;x;;speech;MATCH;00:00:39:22;00:00:41:14;5;ont;5;ont;MATCH;1.00;groq_word;00:00:40:23;00:00:41:01;
19;19;x;;speech;MATCH;00:00:39:22;00:00:41:14;6;marque;6;marque;MATCH;1.00;groq_word;00:00:41:01;00:00:41:07;
19;19;x;;speech;MATCH;00:00:39:22;00:00:41:14;7;l;7;l;MATCH;1.00;groq_word;00:00:41:07;00:00:41:14;
19;19;x;;speech;MATCH;00:00:39:22;00:00:41:14;8;histoire;8;histoire;MATCH;1.00;groq_word;00:00:41:07;00:00:41:14;
20;20;;x;silence;SILENCE;00:00:41:14;00:00:43:05;;;;;SILENCE;1.00;silence_row;00:00:41:14;00:00:43:05;
21;21;x;;speech;MATCH;00:00:43:05;00:00:46:00;0;c;0;c;MATCH;1.00;groq_word;00:00:43:05;00:00:43:14;
21;21;x;;speech;MATCH;00:00:43:05;00:00:46:00;1;est;1;est;MATCH;1.00;groq_word;00:00:43:05;00:00:43:14;
21;21;x;;speech;MATCH;00:00:43:05;00:00:46:00;2;fou;2;fou;MATCH;1.00;groq_word;00:00:43:14;00:00:44:12;
21;21;x;;speech;MATCH;00:00:43:05;00:00:46:00;3;vrai;3;vrai;MATCH;1.00;groq_word;00:00:44:12;00:00:45:17;
21;21;x;;speech;MATCH;00:00:43:05;00:00:46:00;4;incroyable;4;incroyable;MATCH;1.00;groq_word;00:00:45:17;00:00:46:00;
22;22;;x;silence;SILENCE;00:00:46:00;00:00:47:09;;;;;SILENCE;1.00;silence_row;00:00:46:00;00:00:47:09;
23;23;;x;speech;PRE_REPEAT_ELIMINATED;00:00:47:09;00:00:48:06;0;abonnez;;;ELIMINATED;0.00;groq_word;00:00:47:09;00:00:47:18;
23;23;;x;speech;PRE_REPEAT_ELIMINATED;00:00:47:09;00:00:48:06;1;vous;;;ELIMINATED;0.00;groq_word;00:00:47:09;00:00:47:18;
23;23;;x;speech;PRE_REPEAT_ELIMINATED;00:00:47:09;00:00:48:06;2;a;;;ELIMINATED;0.00;groq_word;00:00:47:18;00:00:47:20;
23;23;;x;speech;PRE_REPEAT_ELIMINATED;00:00:47:09;00:00:48:06;3;la;;;ELIMINATED;0.00;groq_word;00:00:47:20;00:00:48:00;
23;23;;x;speech;PRE_REPEAT_ELIMINATED;00:00:47:09;00:00:48:06;4;chaine;;;ELIMINATED;0.00;groq_word;00:00:48:00;00:00:48:06;
24;24;;x;silence;SILENCE;00:00:48:06;00:00:50:12;;;;;SILENCE;1.00;silence_row;00:00:48:06;00:00:50:12;
25;25;;x;speech;PRE_REPEAT_ELIMINATED;00:00:50:12;00:00:51:16;0;abonnez;;;ELIMINATED;0.00;groq_word;00:00:50:12;00:00:50:23;
25;25;;x;speech;PRE_REPEAT_ELIMINATED;00:00:50:12;00:00:51:16;1;vous;;;ELIMINATED;0.00;groq_word;00:00:50:12;00:00:50:23;
25;25;;x;speech;PRE_REPEAT_ELIMINATED;00:00:50:12;00:00:51:16;2;a;;;ELIMINATED;0.00;groq_word;00:00:50:23;00:00:51:06;
25;25;;x;speech;PRE_REPEAT_ELIMINATED;00:00:50:12;00:00:51:16;3;la;;;ELIMINATED;0.00;groq_word;00:00:51:06;00:00:51:10;
25;25;;x;speech;PRE_REPEAT_ELIMINATED;00:00:50:12;00:00:51:16;4;chaine;;;ELIMINATED;0.00;groq_word;00:00:51:10;00:00:51:16;
26;26;;x;silence;SILENCE;00:00:51:16;00:00:52:15;;;;;SILENCE;1.00;silence_row;00:00:51:16;00:00:52:15;
27;27;;x;speech;PRE_REPEAT_ELIMINATED;00:00:52:15;00:00:54:10;0;abonnez;;;ELIMINATED;0.00;groq_word;00:00:52:15;00:00:53:03;
27;27;;x;speech;PRE_REPEAT_ELIMINATED;00:00:52:15;00:00:54:10;1;vous;;;ELIMINATED;0.00;groq_word;00:00:52:15;00:00:53:03;
27;27;;x;speech;PRE_REPEAT_ELIMINATED;00:00:52:15;00:00:54:10;2;a;;;ELIMINATED;0.00;groq_word;00:00:53:03;00:00:53:12;
27;27;;x;speech;PRE_REPEAT_ELIMINATED;00:00:52:15;00:00:54:10;3;la;;;ELIMINATED;0.00;groq_word;00:00:53:12;00:00:53:17;
27;27;;x;speech;PRE_REPEAT_ELIMINATED;00:00:52:15;00:00:54:10;4;chaine;;;ELIMINATED;0.00;groq_word;00:00:53:17;00:00:54:10;
28;28;;x;silence;SILENCE;00:00:54:10;00:00:55:14;;;;;SILENCE;1.00;silence_row;00:00:54:10;00:00:55:14;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;0;abonnez;0;abonnez;MATCH;1.00;groq_word;00:00:55:14;00:00:56:01;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;1;vous;1;vous;MATCH;1.00;groq_word;00:00:55:14;00:00:56:01;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;2;a;2;a;MATCH;1.00;groq_word;00:00:56:01;00:00:56:08;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;3;la;3;la;MATCH;1.00;groq_word;00:00:56:08;00:00:56:12;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;4;chaine;4;chaine;MATCH;1.00;groq_word;00:00:56:12;00:00:57:07;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;5;faites;5;faite;APPROX_MATCH;0.91;groq_word;00:00:57:07;00:00:57:13;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;6;nous;6;nous;MATCH;1.00;groq_word;00:00:57:07;00:00:57:13;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;7;un;7;un;MATCH;1.00;groq_word;00:00:57:13;00:00:57:17;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;8;don;8;don;MATCH;1.00;groq_word;00:00:57:17;00:00:58:00;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;9;sur;9;sur;MATCH;1.00;groq_word;00:00:58:00;00:00:58:09;
29;29;x;;speech;TRANSPOSED_MATCH;00:00:55:14;00:00:58:19;10;tipeee;10;tipee;APPROX_MATCH;0.91;groq_word;00:00:58:09;00:00:58:19;
30;30;;x;silence;SILENCE;00:00:58:19;00:00:59:12;;;;;SILENCE;1.00;silence_row;00:00:58:19;00:00:59:12;
31;31;x;;speech;MATCH;00:00:59:12;00:01:01:10;0;et;0;et;MATCH;1.00;groq_word;00:00:59:12;00:00:59:15;
31;31;x;;speech;MATCH;00:00:59:12;00:01:01:10;1;puis;1;puis;MATCH;1.00;groq_word;00:00:59:15;00:00:59:20;
31;31;x;;speech;MATCH;00:00:59:12;00:01:01:10;2;allez;2;allez;MATCH;1.00;groq_word;00:00:59:20;00:01:00:03;
31;31;x;;speech;MATCH;00:00:59:12;00:01:01:10;3;voir;3;voir;MATCH;1.00;groq_word;00:01:00:03;00:01:00:07;
31;31;x;;speech;MATCH;00:00:59:12;00:01:01:10;4;notre;4;notre;MATCH;1.00;groq_word;00:01:00:07;00:01:00:12;
31;31;x;;speech;MATCH;00:00:59:12;00:01:01:10;5;page;5;page;MATCH;1.00;groq_word;00:01:00:12;00:01:01:00;
31;31;x;;speech;MATCH;00:00:59:12;00:01:01:10;6;twitter;6;twitter;MATCH;1.00;groq_word;00:01:01:00;00:01:01:10;
32;32;;x;silence;SILENCE;00:01:01:10;00:01:02:17;;;;;SILENCE;1.00;silence_row;00:01:01:10;00:01:02:17;
33;33;;x;speech;ELIMINATE_NO_REFERENCE_COVERED;00:01:02:17;00:01:03:12;0;et;;;ELIMINATED;0.00;groq_word;00:01:02:17;00:01:02:21;
33;33;;x;speech;ELIMINATE_NO_REFERENCE_COVERED;00:01:02:17;00:01:03:12;1;enfin;;;ELIMINATED;0.00;groq_word;00:01:02:21;00:01:03:12;
34;34;;x;silence;SILENCE;00:01:03:12;00:01:04:19;;;;;SILENCE;1.00;silence_row;00:01:03:12;00:01:04:19;
35;35;x;;speech;MATCH;00:01:04:19;00:01:07:01;0;et;0;et;MATCH;1.00;groq_word;00:01:04:19;00:01:04:22;
35;35;x;;speech;MATCH;00:01:04:19;00:01:07:01;1;rendez;1;rendez;MATCH;1.00;groq_word;00:01:04:22;00:01:05:14;
35;35;x;;speech;MATCH;00:01:04:19;00:01:07:01;2;vous;2;vous;MATCH;1.00;groq_word;00:01:04:22;00:01:05:14;
35;35;x;;speech;MATCH;00:01:04:19;00:01:07:01;3;sur;3;sur;MATCH;1.00;groq_word;00:01:05:14;00:01:05:22;
35;35;x;;speech;MATCH;00:01:04:19;00:01:07:01;;;4;nicolas;REF_ONLY;0.00;;;;
35;35;x;;speech;MATCH;00:01:04:19;00:01:07:01;;;5;cage;REF_ONLY;0.00;;;;
35;35;x;;speech;MATCH;00:01:04:19;00:01:07:01;4;nicolaskage;;;TRANSCRIPT_ONLY;0.00;groq_word;00:01:05:22;00:01:07:01;
35;35;x;;speech;MATCH;00:01:04:19;00:01:07:01;5;com;6;com;MATCH;1.00;groq_word;00:01:05:22;00:01:07:01;
36;36;;x;silence;SILENCE;00:01:07:01;00:01:10:06;;;;;SILENCE;1.00;silence_row;00:01:07:01;00:01:10:06;
37;37;;x;speech;ELIMINATE_NO_REFERENCE_COVERED;00:01:10:06;00:01:13:02;0;c;;;ELIMINATED;0.00;groq_word;00:01:10:06;00:01:10:12;
